Date,Price,Open,High,Low,Vol.,Change %
20-Jun-21,35.32,35.283,35.701,31.5,-,0.10%
19-Jun-21,35.283,36.65,37.062,35.097,-,-3.73%
18-Jun-21,36.65,38.824,39.216,35.515,-,-6.98%
17-Jun-21,39.4,39.334,41.317,38.472,-,0.17%
16-Jun-21,39.334,39.592,40.925,37.78,-,-0.65%
15-Jun-21,39.592,39.703,41.339,39.554,-,-0.28%
14-Jun-21,39.703,38.806,40.168,36.931,-,2.31%
13-Jun-21,38.806,36.402,39.18,35.316,-,6.60%
12-Jun-21,36.402,36.012,37.5,34.453,-,1.08%
11-Jun-21,36.012,41.124,41.124,35.5,-,-12.43%
10-Jun-21,41.124,42.041,42.901,39.869,-,-2.18%
9-Jun-21,42.041,41.34,43.864,39.668,-,1.70%
8-Jun-21,41.34,38.272,42.287,33.824,-,8.02%
7-Jun-21,38.272,42.209,43.91,38.272,-,-9.33%
6-Jun-21,42.209,39.559,43.208,39.092,-,6.70%
5-Jun-21,39.559,37.435,42.252,37.435,-,5.67%
4-Jun-21,37.435,39.461,39.461,34.661,-,-5.13%
3-Jun-21,39.461,34.009,40.993,34.009,-,16.03%
2-Jun-21,34.009,31.002,34.486,30.552,-,9.70%
1-Jun-21,31.002,32.724,32.741,30.246,-,-5.26%
31-May-21,32.724,28.519,32.812,27,-,14.74%
30-May-21,28.519,26.9,29.485,25.825,-,6.02%
29-May-21,26.9,29.087,29.677,25.873,-,-7.52%
28-May-21,29.087,33.517,34.075,28.513,-,-13.22%
27-May-21,33.517,35.5,35.5,31.526,-,-5.59%
26-May-21,35.5,29.944,36.311,29.45,-,18.55%
25-May-21,29.944,30.637,32.604,26.383,-,-2.26%
24-May-21,30.637,24.611,32.08,24.611,-,24.48%
23-May-21,24.611,23.7,25.854,19.8,-,-42.21%
30-Apr-21,42.586,42.614,42.614,42.586,-,-0.12%
29-Apr-21,42.637,44.97,45.365,41.762,-,-5.19%
28-Apr-21,44.97,43.253,46.245,41.448,-,3.97%
27-Apr-21,43.253,44.5,46.167,42.83,-,-2.80%
26-Apr-21,44.5,47.466,48.36,43.504,-,-6.25%
25-Apr-21,47.466,40.849,48.085,40,-,16.20%
24-Apr-21,40.849,36.006,42.06,35.135,-,13.45%
23-Apr-21,36.006,39.015,41,31,-,-7.71%
22-Apr-21,39.015,32.536,40.262,32.536,-,19.91%
21-Apr-21,32.536,31.752,34.819,30.549,-,2.47%
20-Apr-21,31.752,28.8,32.232,26,-,10.25%
19-Apr-21,28.8,28.3,35.497,28.3,-,1.77%
18-Apr-21,28.3,25.096,32.98,22.698,-,12.77%
17-Apr-21,25.096,25.342,26.497,25.096,-,-0.97%
16-Apr-21,25.342,27.001,27.891,25.096,-,-6.15%
15-Apr-21,27.001,26.465,27.626,25.4,-,2.03%
14-Apr-21,26.465,27.75,31,24.962,-,-4.63%
13-Apr-21,27.75,28.547,29.5,25.274,-,-2.79%
12-Apr-21,28.547,27.812,29.45,27.043,-,2.64%
11-Apr-21,27.812,26.79,28.471,25.726,-,3.81%
10-Apr-21,26.79,27.377,27.377,26.046,-,-3.37%
8-Apr-21,27.723,26.478,29,23.5,-,4.70%
7-Apr-21,26.478,24.971,27.304,23.364,-,6.04%
6-Apr-21,24.971,22.957,24.994,21.913,-,8.77%
5-Apr-21,22.957,23.876,24.463,22.906,-,-3.85%
4-Apr-21,23.876,22.466,25.308,22.278,-,6.28%
3-Apr-21,22.466,19.749,23.397,19.749,-,13.75%
2-Apr-21,19.749,19.07,19.749,18.612,-,3.56%
1-Apr-21,19.07,19.437,20.6,18.66,-,-1.89%
31-Mar-21,19.437,19.156,19.677,18.534,-,1.47%
30-Mar-21,19.156,18.878,21.4,18.878,-,1.47%
29-Mar-21,18.878,18.22,18.909,17.715,-,3.61%
28-Mar-21,18.22,16.506,24.4,16.347,-,10.38%
27-Mar-21,16.506,14.75,16.527,14.75,-,11.91%
26-Mar-21,14.75,12.988,14.75,12.422,-,13.56%
25-Mar-21,12.988,13.629,13.629,12.679,-,-4.70%
24-Mar-21,13.629,14.184,15.257,13.628,-,-3.98%
23-Mar-21,14.193,14.888,15.194,14.193,-,-4.67%
22-Mar-21,14.888,14.18,16.54,14.18,-,5.00%
21-Mar-21,14.18,14.27,14.3,13.714,-,-0.63%
20-Mar-21,14.27,14.287,14.838,14.202,-,-0.12%
19-Mar-21,14.287,14.328,14.437,14.034,-,-0.28%
18-Mar-21,14.328,13.99,14.703,13.99,-,2.41%
17-Mar-21,13.99,13.805,14.2,13.367,-,1.34%
16-Mar-21,13.805,14.28,14.28,13.3,-,-3.33%
15-Mar-21,14.28,14.555,14.7,13.808,-,-1.89%
14-Mar-21,14.555,15.37,15.37,14.38,-,-5.31%
13-Mar-21,15.37,14.552,15.37,13.896,-,5.62%
12-Mar-21,14.552,15.987,16.454,14.36,-,-8.98%
11-Mar-21,15.987,14.235,16.339,13.74,-,12.31%
10-Mar-21,14.235,14.86,14.86,14.134,-,-4.21%
9-Mar-21,14.86,13.598,14.973,13.361,-,9.29%
8-Mar-21,13.598,13.791,13.837,13.072,-,-1.40%
7-Mar-21,13.791,12.924,13.949,12.717,-,6.71%
6-Mar-21,12.924,12.572,13.162,11.99,-,2.80%
5-Mar-21,12.572,13.112,13.112,12.218,-,-4.12%
4-Mar-21,13.112,14.131,14.142,12.806,-,-7.21%
3-Mar-21,14.131,13.975,14.562,13.846,-,1.12%
2-Mar-21,13.974,14.983,15.182,13.522,-,-6.73%
1-Mar-21,14.983,13.063,15.378,13.063,-,14.70%
28-Feb-21,13.063,13.215,13.658,11.572,-,-1.15%
27-Feb-21,13.215,13.576,14.45,13.157,-,-2.66%
26-Feb-21,13.576,14,15.352,13.368,-,-3.03%
25-Feb-21,14,17.167,17.616,14,-,-18.45%
24-Feb-21,17.167,15.089,20,14,-,13.77%
23-Feb-21,15.089,14.512,16.11,12.003,-,3.97%
22-Feb-21,14.512,11.074,14.512,9.78,-,31.05%
21-Feb-21,11.074,10.005,11.495,10.005,-,10.68%
20-Feb-21,10.005,11.444,11.444,9.924,-,-12.57%
19-Feb-21,11.444,8.984,11.499,8.644,-,27.38%
18-Feb-21,8.984,8.236,9.17,8.236,-,9.09%
17-Feb-21,8.236,8.3,8.41,7.634,-,-0.77%
16-Feb-21,8.3,8.846,8.899,8.081,-,-6.17%
15-Feb-21,8.846,8.735,9.29,7.904,-,1.27%
14-Feb-21,8.735,8.669,9.116,8.604,-,0.76%
13-Feb-21,8.669,9.21,9.488,8.669,-,-5.87%
12-Feb-21,9.21,9.185,9.914,9.08,-,0.27%
11-Feb-21,9.185,8.95,10.1,8.875,-,2.63%
10-Feb-21,8.95,7.836,9.06,7.557,-,14.21%
9-Feb-21,7.836,7.879,8.444,7.654,-,-0.54%
8-Feb-21,7.879,6.704,8.039,6.498,-,17.53%
7-Feb-21,6.704,6.12,6.846,5.817,-,9.54%
6-Feb-21,6.12,6.5,6.89,5.788,-,-5.85%
5-Feb-21,6.5,6.421,7.077,4.848,-,1.25%
4-Feb-21,6.42,5.722,6.511,5.61,-,12.26%
3-Feb-21,5.719,5.257,5.77,5.097,-,8.77%
2-Feb-21,5.257,4.622,5.335,4.489,-,13.75%
1-Feb-21,4.622,4.268,4.622,4.128,-,8.29%
31-Jan-21,4.268,4.232,4.781,4.197,-,0.86%
30-Jan-21,4.232,3.842,4.271,3.797,-,10.15%
29-Jan-21,3.842,3.819,3.871,3.638,-,0.60%
28-Jan-21,3.819,3.688,3.907,3.62,-,3.54%
27-Jan-21,3.688,4.037,4.037,3.652,-,-8.64%
26-Jan-21,4.037,3.72,4.062,3.714,-,8.53%
25-Jan-21,3.72,3.624,3.953,3.473,-,2.64%
24-Jan-21,3.624,3.501,3.78,3.501,-,3.51%
23-Jan-21,3.501,3.339,3.583,3.328,-,4.85%
22-Jan-21,3.339,2.985,3.485,2.661,-,11.87%
21-Jan-21,2.985,3.723,3.723,2.985,-,-19.83%
20-Jan-21,3.723,3.647,3.726,3.382,-,2.08%
19-Jan-21,3.647,3.784,3.996,3.622,-,-3.62%
18-Jan-21,3.784,3.827,4.111,3.02,-,-1.13%
17-Jan-21,3.827,3.449,3.963,3.362,-,10.99%
16-Jan-21,3.449,3.3,3.68,3.3,-,4.50%
15-Jan-21,3.3,3.284,3.425,3,-,0.48%
14-Jan-21,3.284,3.517,3.543,3.208,-,-6.63%
13-Jan-21,3.517,3.631,3.631,3.313,-,-3.14%
12-Jan-21,3.631,3.107,3.831,3.088,-,16.88%
11-Jan-21,3.107,3.053,3.154,2.616,-,1.77%
10-Jan-21,3.053,3,3.7,3,-,1.76%
9-Jan-21,3,3.889,3.889,2.9,-,-22.85%
8-Jan-21,3.889,2.359,3.889,2.184,-,64.83%
7-Jan-21,2.359,1.934,2.412,1.934,-,22.00%
6-Jan-21,1.934,2.155,2.165,1.934,-,-10.29%
5-Jan-21,2.155,2.489,2.489,2.093,-,-13.39%
4-Jan-21,2.489,2.161,2.489,1.945,-,15.18%
3-Jan-21,2.161,1.796,2.295,1.796,-,20.27%
2-Jan-21,1.796,1.837,1.986,1.733,-,-2.22%
1-Jan-21,1.837,1.514,1.837,1.507,-,21.34%
31-Dec-20,1.514,1.534,1.546,1.437,-,-1.30%
30-Dec-20,1.534,1.673,1.673,1.534,-,-8.30%
29-Dec-20,1.673,1.515,1.7,1.445,-,10.40%
28-Dec-20,1.515,1.306,1.515,1.306,-,16.04%
27-Dec-20,1.306,1.326,1.385,1.286,-,-1.49%
26-Dec-20,1.326,1.443,1.444,1.321,-,-8.12%
25-Dec-20,1.443,1.358,1.447,1.352,-,6.23%
24-Dec-20,1.358,1.199,1.38,1.199,-,13.25%
23-Dec-20,1.199,1.493,1.501,1.139,-,-19.71%
22-Dec-20,1.493,1.54,1.569,1.48,-,-3.01%
21-Dec-20,1.54,1.564,1.614,1.43,-,-1.56%
20-Dec-20,1.564,1.667,1.681,1.541,-,-6.17%
19-Dec-20,1.667,1.696,1.754,1.667,-,-1.68%
18-Dec-20,1.696,1.676,1.7,1.647,-,1.17%
17-Dec-20,1.676,1.785,1.791,1.664,-,-6.11%
16-Dec-20,1.785,1.755,1.785,1.636,-,1.68%
15-Dec-20,1.755,1.594,1.785,1.592,-,10.13%
14-Dec-20,1.594,1.566,1.614,1.528,-,1.78%
13-Dec-20,1.566,1.499,1.639,1.468,-,4.45%
12-Dec-20,1.499,1.449,1.533,1.449,-,3.46%
11-Dec-20,1.449,1.58,1.58,1.449,-,-8.25%
10-Dec-20,1.58,1.666,1.666,1.556,-,-5.17%
9-Dec-20,1.666,1.682,1.682,1.532,-,-0.95%
8-Dec-20,1.682,1.827,1.827,1.675,-,-7.95%
7-Dec-20,1.827,1.85,1.892,1.818,-,-1.25%
6-Dec-20,1.85,1.974,1.977,1.82,-,-6.26%
5-Dec-20,1.974,1.857,1.974,1.847,-,6.25%
4-Dec-20,1.857,2.096,2.108,1.857,-,-11.37%
3-Dec-20,2.096,2.116,2.21,2.082,-,-0.94%
2-Dec-20,2.116,1.978,2.168,1.972,-,6.98%
1-Dec-20,1.978,1.967,2.131,1.943,-,0.57%
30-Nov-20,1.967,1.909,1.999,1.909,-,3.03%
29-Nov-20,1.909,1.888,1.939,1.862,-,1.09%
